地域,ちいき,地域情報,地域社会,地域密着,地域住民,地域別
厳正,げんせい,厳正に対処,厳正に管理,厳正に処分,厳正に対応,厳正中立
拝借,はいしゃく,勝手に拝借,手を拝借,名前を拝借,写真を拝借,無断拝借
宣戦,せんせん,宣戦布告,宣戦を布告,宣戦を布告する,日本に宣戦,ドイツに宣戦
私見,しけん,私見を述べる,私の私見,私見を述べさせる,私見を交える
敬愛,けいあい,敬愛の念,私の敬愛,敬愛学園,千葉敬愛,敬愛会
呼び捨て,よびすて,名前を呼び捨て,名前呼び捨て,呼び捨てで呼ぶ,名前で呼び捨て,私呼び捨て
名著,めいちょ,世界の名著,的名著,日本の名著,名著復刻,名著出版
従属,じゅうぞく,米従属,従属的,従属関係,従属性,従属国
値下がり,ねさがり,値下がり率,市場値下がり,値下がり上位,部値下がり,大きく値下がり
欲張り,よくばり,欲張りすぎ,欲張りプラン,欲張りさん,欲張り女子,欲張りセット
一派,いっぱ,小泉一派,塩川一派,教の一派,党一派,仏教の一派
糖度,とうど,糖度が高い,糖度計,糖度トマト,糖度も高い,高い糖度
鋼材,こうざい,用鋼材,鋼材価格,鋼鋼材,鋼材加工,圧延鋼材
利己,りこ,利己的,利己主義,利己心,利己性,的利己
専修,せんしゅう,専修学校,高等専修,専修念仏,専修科,学専修
裁断,さいだん,立体裁断,裁断機,裁断面,生地の裁断,細かく裁断
除名,じょめい,除名処分,会員を除名,氏を除名,議員を除名
勤勉,きんべん,勤勉手当,期末勤勉,勤勉性,日本人の勤勉,職員の勤勉
糖分,とうぶん,糖分補給,中の糖分,糖分が多い,糖分の吸収,炭水化物や糖分
聖火,せいか,聖火台,五輪の聖火,五輪聖火,オリンピックの聖火,長野聖火
論調,ろんちょう,マスコミの論調,メディアの論調,新聞の論調,同じ論調,新聞論調
増収,ぞうしゅう,増収増益,増収となる,円の増収,連続増収,増収効果
操り,あやつり,操り人形,自在に操り,糸操り,自由に操り,自由自在に操り
真っ盛り,まっさかり,夏真っ盛り,紅葉真っ盛り,春真っ盛り,青春真っ盛り,秋真っ盛り
揮発,きはつ,揮発性,揮発油,揮発成分,揮発分,地方揮発
班長,はんちょう,班長さん,班の班長,班班長,班長会,班長会議
真宗,しんしゅう,真宗大谷,真宗門徒,真宗教団,真宗寺院,真宗学
補習,ほしゅう,補習授業,補習校,学校補習,補習学校,補習を受ける
黄砂,こうさ,黄砂対策,黄砂現象,黄砂のせい,黄砂情報,ファイリング黄砂
服従,ふくじゅう,絶対服従,服従訓練,命令に服従,的服従,服従心
疑念,ぎねん,疑念を持つ,強い疑念,疑念を感じる,疑念を持たれる,性に疑念
人並み,ひとなみ,人並み以上,人並み外れ,人並みの生活,人並み以下,人並み程度
磁器,じき,磁器製,色絵磁器,強化磁器,磁器タイル,磁器質
未納,みのう,年金未納,未納問題,費未納,料未納,未納分
視認,しにん,視認性,高い視認,夜間の視認,視認可能,視認出来
決裁,けっさい,決裁を受ける,市長の決裁,決裁権,決裁文書,町長の決裁
収量,しゅうりょう,収量性,当たり収量,生育収量,収量が多い,当たりの収量
純金,じゅんきん,純金製,純金製品,純金積立,純金メッキ,純金仕上げ
論説,ろんせつ,論説委員,論説文,論説主幹,新聞の論説,新聞論説
右脳,うのう,右脳と左脳,右脳開発,右脳教育,右脳左脳,右脳を使う
加担,かたん,戦争に加担,犯罪に加担,軍に加担,宣伝に加担,計画に加担
街並み,まちなみ,街並みを見る,街並みを再現,街並みを再現する,街並み景観,街並みを散策
中段,ちゅうだん,中段左,右中段,中段技,左中段,中段の構え
英訳,えいやく,英訳版,英訳法令,和文英訳,考え方の英訳,英訳本
山並み,やまなみ,美しい山並み,アルプスの山並み,山並みを望む,遠くの山並み,北アルプスの山並み
専科,せんか,専科求人,見合い専科,音楽専科,女性専科,専科健康
仲裁,ちゅうさい,仲裁判断,仲裁委員,仲裁手続,仲裁裁判所,仲裁合意
便座,べんざ,補助便座,トイレの便座,便座洗面,付き便座,温水便座
俳人,はいじん,俳人たち,俳人協会,時代の俳人,女流俳人,多くの俳人
胃がん,いがん,スキルス胃がん,早期胃がん,胃がん検査,胃がん自覚,胃がんの手術
私大,しだい,有名私大,難関私大,関西私大,私大生,私大卒
巻き上げ,まきあげ,金を巻き上げられる
看病,かんびょう,看病をする,母の看病,父の看病,看病を続ける,母親の看病
左派,さは,中道左派,左派系,左派政権,左派勢力,左派運動
半熟,はんじゅく,半熟卵,半熟玉子,半熟たま,半熟カステラ,半熟味
延びる,のびる,延びる道,延びる可能,延びる場合,延びる道路,延びる林道
呼応,こおう,動きに呼応,呼応する形,声に呼応,言葉に呼応
仁義,じんぎ,夫妻の仁義,仁義礼,兄弟仁義,仁義の墓場
若宮,わかみや,若宮大路,若宮神社,若宮町,春日若宮,若宮通
難航,なんこう,調整は難航,難航中,作業は難航,作業は難航する,調整は難航する
難題,なんだい,無理難題,難題を解決,難題をふっかける,難題を言う,難題に直面
巻物,まきもの,白紙の巻物,聖域の巻物,識別の巻物,大部屋の巻物,巻物を読む
策略,さくりゃく,策略家,策略的,的策略
乳酸,にゅうさん,ポリ乳酸,乳酸飲料,高菜と乳酸,乳酸カルシウム,乳酸系
暖冬,だんとう,暖冬のせい,暖冬と言われる,今年の暖冬
一樹,いちじゅ,桜庭一樹,一樹さん,古泉一樹,大竹一樹,大森一樹
推論,すいろん,的推論,推論規則,ファジィ推論,型推論,私の推論
宗家,そうけ,徳川宗家,流宗家,得宗家,世宗家,対馬宗家
公私,こうし,公私混同,公私共,国公私,公私あい,公私の区別
口紅,くちべに,口紅の色,赤い口紅,口紅リボン,色の口紅,ピンクの口紅
針金,はりがね,細い針金,針金細工,針金で固定,針金状,針金みたい
上巻,じょうかん,上巻と下巻,上巻を読む,史上巻
裏方,うらかた,裏方さん,裏方の仕事,裏方仕事,裏方スタッフ,裏方的
帰郷,ききょう,帰郷後,帰郷中,帰郷する際,帰郷の際,帰郷する時
無傷,むきず,無傷のまま,無傷で残る,無傷でいる,無傷で帰る
収拾,しゅうしゅう,事態の収拾,事態を収拾,事態収拾,事態を収拾する,混乱を収拾
樹海,じゅかい,原樹海,富士の樹海,樹海ライン,樹海の中,青木ケ原樹海
干す,ほす,物を干す,布団を干す,天日で干す,干し場,干す時
至って,いたって,至ってない,至っておる
善人,ぜんにん,善人面,真の善人,善人と悪人,善人役
卵黄,らんおう,卵黄油,卵黄と卵白,卵黄を加える,卵黄を入れる,ボウルに卵黄
減退,げんたい,食欲減退,精力減退,性欲減退,力減退,意欲の減退
心肺,しんぱい,心肺停止,心肺機能,人工心肺,心肺装置,心肺能力
難問,なんもん,難問編,最大の難問,難問を解決,難問解決,難問山積
低層,ていそう,種低層,低層住居,低層マンション,低層階,低層住宅
券売,けんばい,券売機,自動券売,券売場,席券売,券売所
供え,そなえ,神前に供え,神に供え,仏前に供え,墓に供え,前に供え
親権,しんけん,親権を行う,子供の親権,共同親権,子の親権,親権問題
簡便,かんべん,簡便法,簡便性,非常に簡便,簡便に測定,対象の簡便
発券,はっけん,発券機,発券後,券発券,発券手数料,チケット発券
装丁,そうてい,本の装丁,装丁版,装丁家,タイトル装丁,装丁出版
沿う,そう,沿う形,沿う場合,沿い左側,沿い右側,沿い徒歩
映す,うつす,映す鏡,姿を映す,心を映す,時代を映す,空を映す
私物,しぶつ,私物パソコン,私の私物
私設,しせつ,私設私書箱,県の私設,私設秘書,府の私設,北海道の私設
少将,しょうしょう,陸軍少将,海軍少将,深草少将,権少将,近衛少将
乱れる,みだれる,乱れる場合,乱れっぷり
密約,みつやく,米密約,密約の存在,密約問題,密約文書,密約を交わす
変装,へんそう,変装をする,変装の名人,変装用,変装グッズ,変装術
直腸,ちょくちょう,直腸がん,直腸内,直腸機能,直腸ガン,結腸直腸
片面,かためん,片面印刷,片面焼き,片面的,単色片面
山盛り,やまもり,皿に山盛り,大さじ山盛り,山盛りポテト
疑わしい,うたがわしい,疑わしい取引,疑わしい場合,疑わしいところ,疑わしい点,極めて疑わしい
屋根裏,やねうら,屋根裏部屋,屋根裏収納,屋根裏の散歩,家の屋根裏,階の屋根裏
論破,ろんぱ,完全論破,相手を論破,完全に論破,簡単に論破
至難,しなん,至難の技,至難のわざ,至難のワザ
増補,ぞうほ,増補版,増補新装,増補新版,辞典増補,語を増補
若菜,わかな,若菜さん,若菜ちゃん,松本若菜,若菜集,若菜ひかる
訪日,ほうにち,訪日外国,訪日団,訪日旅行,大統領の訪日,大統領訪日
心筋,しんきん,型心筋,性心筋,心筋障害,心筋再生,心筋保護
割増,わりまし,割増賃金,割増料金,割増率,割増代金,割増金
感傷,かんしょう,感傷的,感傷旅行,感傷コンパス
乳頭,にゅうとう,乳頭温泉郷,乳頭温泉,毛乳頭,視神経乳頭,乳頭部
街宣,がいせん,街宣車,街宣活動,街宣行動,団体の街宣
仁王,におう,仁王像,仁王様,仁王さん,仁王尊,仁王くん
忠義,ちゅうぎ,大倉忠義,市田忠義,忠義書記,忠義さん,忠義心
署員,しょいん,警察署員,中の署員,署の署員,南署員,東署員
源平,げんぺい,源平合戦,源平の合戦,源平の戦い,源平争乱,源平時代
舌打ち,したうち,舌打ちをする,小さく舌打ち,チッと舌打ち,軽く舌打ち,中で舌打ち
難なく,なんなく,難なくこなす,難なくこなせる
窓辺,まどべ,部屋の窓辺,明るい窓辺
特段,とくだん,特段の事情,特段の問題,特段問題,特段の理由,特段の変化
従順,じゅうじゅん,
雨降り,あめふり,雨降りの中,雨降り演出
糖類,とうるい,二糖類,糖類の一種
装具,そうぐ,補装具,装具士,刀装具,装具費,用装具
自腹,じばら,自腹を切る,自腹で買う,全部自腹
戦乱,せんらん,戦乱の世,戦乱の時代,戦乱の中,戦乱の日本,長い戦乱
音域,おんいき,音域が広い,高い音域,広い音域,中高音域,低い音域
定刻,ていこく,定刻通り,定刻どおり,定刻に出発,定刻前,定刻発車
熟年,じゅくねん,熟年夫婦,熟年世代,熟年層,熟年カップル,熟年女性
警護,けいご,身辺警護,警護官,要人警護,警護をする,警護役
暮れる,くれる,暮れる前,暮れるころ
毒舌,どくぜつ,毒舌家,毒舌日記,ゴッホの毒舌,毒舌台詞,毒舌キャラ
一座,いちざ,旅芸人一座,花ふぶき一座,旅芸人の一座,一座の座長,笑劇一座
清純,せいじゅん,清純派,二宮清純,清純いも,清純系,千石清純
射出,しゃしゅつ,射出成形,射出成型,プラスチック射出,射出口,射出装置
密輸,みつゆ,密輸事件,武器密輸,密輸組織,密輸業者,密輸品
減収,げんしゅう,減収減益,減収となる,円の減収,減収分,税の減収
土砂降り,どしゃぶり,土砂降りの雨,土砂降りの中
聖戦,せいせん,聖戦士,最後の聖戦,イスラム聖戦,聖戦のイベリア
水洗,すいせん,水洗便所,水洗顔,水洗式,簡易水洗,トイレの水洗
下値,したね,下値不安,下値支持,下値リスク,下値を探る,下値を切り上げ
持株,もちかぶ,持株会社,持株会,持株比率,員持株,銀行持株
背もたれ,せもたれ,背もたれ部分,背もたれ付き,ソファの背もたれ,座席の背もたれ,背もたれの角度
直系,ちょっけい,直系尊属,直系血族,直系の子孫,直系組長,直系子孫
乳液,にゅうえき,水と乳液,水や乳液,乳液タイプ,止め乳液,乳液状
難所,なんしょ,最大の難所,一番の難所,交通の難所,三難所,最後の難所
受難,じゅなん,受難曲,マタイ受難,受難の時代,キリストの受難,ヨハネ受難
観衆,かんしゅう,観衆の前,観衆の中,観衆を集める,多くの観衆,大勢の観衆
完済,かんさい,借金完済,完済を目指す,完済後,完済時,借金を完済
野暮,やぼ,野暮用
口論,こうろん,口論となる,口論の末,口論をする,激しい口論
預かる,あずかる,預かり保育,預かり金,命を預かる,預かり所,荷物を預かる
専売,せんばい,専売特許,専売公社,専売品,専売店,専売所
鋼管,こうかん,日本鋼管,鋼管柱,鋼管矢板,用鋼管,ステンレス鋼管
目処,めど,目処は立つ,復旧の目処,再開の目処,入荷の目処,下値目処
奮戦,ふんせん,奮戦記,検事奮戦,奮戦中,師の奮戦,国会奮戦
降順,こうじゅん,降順出版,名の降順,降順発売,降順に表示,件数降順
諸氏,しょし,読者諸氏,男性諸氏,会員諸氏,家諸氏,議員諸氏
てんこ盛り,てんこもり,情報てんこ盛り,てんこ盛り状態
家宅,かたく,
激務,げきむ,激務ブラック,激務度,激務の中,激務をこなす,毎日の激務
鉱泉,こうせん,冷鉱泉,青木鉱泉,和銅鉱泉,鉱泉浴場,朝日鉱泉
都庁,とちょう,東京都庁,都庁前,都庁のウェブサイト,都庁舎,線都庁
拝読,はいどく,楽しく拝読,興味深く拝読,記事を拝読,ブログを拝読,楽しみに拝読
本筋,ほんすじ,一本筋,本筋と関係,話の本筋,物語の本筋,本筋に関係
全盛,ぜんせい,全盛時代,全盛の時代,全盛の今,全盛のころ,バブル全盛
皇位,こうい,皇位の正統
冬至,とうじ,冬至かぼちゃ,冬至祭,夏至と冬至,冬至梅,冬至の夜
持ち株,もちかぶ,持ち株会社,持ち株比率,持ち株制度,社員持ち株,持ち株会
創世,そうせい,創世記,天下創世,創世神話,創世期,聖書の創世
日勤,にっきん,日勤教育,人気の日勤,日勤帯,日勤常勤,日勤の賃貸
割れ目,われめ,岩の割れ目,割れ目の中,ケツの割れ目
小刻み,こきざみ,小刻みに得点,小刻みに加点
脳波,のうは,脳波検査,脳波計,脳波測定,時の脳波,脳波の検査
就農,しゅうのう,新規就農,就農希望,就農相談,就農定住,就農準備
家宝,かほう,温家宝,家宝首相,家宝総理,家の家宝,五家宝
宣教,せんきょう,福音宣教,宣教活動,宣教会,世界宣教,日本宣教
春巻き,はるまき,春巻きの皮
論評,ろんぴょう,論評をする,論評を加える
骨太,ほねぶと,骨太の方針,骨太方針,毎日骨太
裏打ち,うらうち,経験に裏打ち,技術に裏打ち,伝統に裏打ち,実績に裏打ち,歴史に裏打ち
習熟,しゅうじゅく,習熟度,完全習熟,習熟の程度,習熟を図る
土蔵,どぞう,土蔵造り,土蔵群,土蔵の中,土蔵造,古い土蔵
復権,ふっけん,復権を目指す,オヤジの復権,書物復権,的復権
誤用,ごよう,誤用の原因,言葉の誤用,誤用例
安否,あんぴ,安否確認,安否情報,安否を確認,安否不明,安否を確認する
群衆,ぐんしゅう,群衆の中,信じる群衆,大勢の群衆,群衆心理,群衆の前
合否,ごうひ,合否判定,合否結果,合否通知,試験の合否,合否発表
聖職,せいしょく,高位聖職,イスラム聖職,兄弟の聖職
樹皮,じゅひ,松の樹皮,木の樹皮,樹皮下,樹皮エキス,松樹皮
敵意,てきい,敵意を持つ,敵意むき出し,敵意を向ける,敵意がない,敵意をもつ
宝島,たからじま,別冊宝島,家具の宝島,宝島編集,宝島チャンネル,天草宝島
手探り,てさぐり,手探り状態,手探りの状態,手探りでやる,手探りで探す,手探りの中
市域,しいき,市域面積,現在の市域,市域内,市域全体,京都市域
再訪,さいほう,再訪時
従者,じゅうしゃ,従者たち,従者達,従者を連れる
大層,たいそう,大層喜ぶ,大層気に入る
片目,かため,片目をつぶる,片目を閉じる,片目を失う,片目を開ける,片目を失明
悲痛,ひつう,
高座,こうざ,高座郡,県高座,高座山,高座名
裏庭,うらにわ,家の裏庭,我が家の裏庭,自宅の裏庭
調律,ちょうりつ,調律師,ピアノ調律,ピアノの調律,調律法,調律をする
激増,げきぞう,激増中
目論見,もくろみ,目論見書,交付目論見,目論見通り,目論見どおり,当初の目論見
処する,しょする,
小腸,しょうちょう,小腸内,小腸と大腸,小腸経,小腸で吸収,胃や小腸
裁決,さいけつ,裁決書,裁決がない,その他裁決,収用裁決,裁決をする
恩給,おんきゅう,恩給法,恩給年額,恩給条例,軍人恩給,増加恩給
吸気,きゅうき,吸気口,吸気系,自然吸気,吸気音,吸気側
吸い物,すいもの,吸い物付き
異種,いしゅ,異種族,異種金属,異種間,異種材料,異種移植
血筋,ちすじ,家の血筋,血筋を引く,天皇の血筋,王家の血筋,氏の血筋
紅梅,こうばい,綿紅梅,湯紅梅,絹紅梅,紅梅色,紅梅白梅
直訳,ちょくやく,直訳的,日本語に直訳,直訳調
敬礼,けいれい,敬礼をする,式敬礼,敬礼を返す
洗い場,あらいば,足洗い場,洗い場付
取り巻き,とりまき,取り巻き連中,取り巻きたち,取り巻き達,取り巻きの一
誌面,しめん,誌面構成,誌面づくり,誌面の都合,誌面作り,誌面上
裁く,さばく,犯人を裁く,犯罪を裁く,罪を裁く,裁く権利,裁く側
存する,そんする,現に存する,存する場合,存する権利,存する標柱,存する日本
未亡人,みぼうじん,未亡人となる,戦争未亡人,美しい未亡人
裏付ける,うらづける,性を裏付ける,裏付ける資料,主張を裏付ける,説を裏付ける,裏付ける結果
同窓,どうそう,同窓会,ウェブ同窓,同窓会長,同窓会員,同窓会館
穴あけ,あなあけ,ピアス穴あけ,穴あけ加工,穴あけ作業,穴あけパンチ,穴あけ機
誤算,ごさん,大きな誤算,最大の誤算
誌上,しじょう,誌上予測,誌上限定,誌上シンポジウム,号誌上,マガジン誌上
若草,わかくさ,若草色,若草物語,若草町,愛の若草,若草の宿
返納,へんのう,自主返納,返納金,証の返納,証を返納,返納通知
聖歌,せいか,聖歌隊,グレゴリオ聖歌,聖歌集,典礼聖歌,聖歌隊員
動乱,どうらん,動乱期,幕末の動乱,動乱の時代,幕末動乱,朝の動乱
大脳,だいのう,大脳辺,大脳生理学,大脳新,大脳動脈,大脳基底
助詞,じょし,格助詞,接続助詞,終助詞,係助詞,助詞の使い方
腸管,ちょうかん,腸管出血,腸管内,腸管感染,腸管上皮,腸管運動
初段,しょだん,女流初段,初段の部,初段以上,初段を目指す
回覧,かいらん,回覧板,回覧版,回覧実記,会の回覧,回覧文書
退化,たいか,
裏目,うらめ,裏目裏目,完全に裏目,全て裏目,全部裏目
預入,あずけいれ,預入期間,預入時,米ドル預入,預入限度,預入金額
表敬,ひょうけい,表敬訪問,市長表敬,知事表敬,表敬を受ける
総論,そうろん,総論的,総論賛成,学総論,総論編,法総論
砂場,すなば,砂場遊び,砂場で遊ぶ,公園の砂場,砂場セット,砂場の砂
骨子,こっし,骨子案,骨子とする,案の骨子,計画の骨子,骨子をまとめる
退出,たいしゅつ,退出時,退出管理,退出血,退出後,強制退出
善行,ぜんこう,善行を積む,善行駅,善行さん,善行をする,善行賞
工賃,こうちん,取り付け工賃,作業工賃,取付工賃,工賃無料,最低工賃
翌週,よくしゅう,翌週の月曜日,翌週の火曜日,翌週月曜日,翌週火曜日,翌週水曜日
名将,めいしょう,名将たち,名将言行,名将オシム,時代の名将
腹ごしらえ,はらごしらえ,腹ごしらえをする,前に腹ごしらえ,前の腹ごしらえ,軽く腹ごしらえ
物干し,ものほし,物干し台,室内物干し,物干し場,物干しスタンド,物干し用
財宝,ざいほう,金銀財宝,王の財宝
上皇,じょうこう,白河上皇,徳上皇,鳥羽上皇,宇多上皇,順徳上皇
ポイ捨て,ぽいすて,タバコのポイ捨て,ゴミのポイ捨て,ポイ捨て禁止,ポイ捨て防止,ポイ捨てをする
夏至,げし,夏至祭,夏至の夜,夏至と冬至,夏至南風,夏至を過ぎる
幼年,ようねん,幼年期,幼年時代,幼年学校,幼年童話,陸軍幼年
前段,ぜんだん,前段の規定,前段に規定,条前段,前段中,前段と後段
前奏,ぜんそう,前奏曲,前奏部分
射す,さす,射す光,陽も射す
遺伝子,いでんし,遺伝子組,遺伝子発現,遺伝子操作,遺伝子検査,遺伝子工学
裁判所,さいばんしょ,最高裁判所,家庭裁判所,簡易裁判所,裁判所とする,高等裁判所
冷蔵庫,れいぞうこ,冷蔵庫の中,冷蔵庫で冷やす,冷蔵庫で保存,冷蔵庫の手,冷蔵庫で保存する
選手権,せんしゅけん,選手権大会,世界選手権,野球選手権,日本選手権,全日本選手権
放射線,ほうしゃせん,放射線科,放射線技師,放射線照射,放射線障害,放射線防護
衆議院,しゅうぎいん,衆議院議員,衆議院選挙,衆議院本,衆議院解散,衆議院議長
専門医,せんもんい,科専門医,専門医院,プラント専門医,専門医ナビ,外科専門医
警察官,けいさつかん,女性警察官,中の警察官,警察官採用,警察官職務,警察官たち
小規模,しょうきぼ,小規模事業,小規模校,小規模作業,小規模農家,小規模宅地
同窓会,どうそうかい,同窓会総会,高校の同窓会,高校同窓会,学校同窓会,同窓会事務
裁判官,さいばんかん,裁判所の裁判官,裁判所裁判官,裁判官国民,裁判官全員,職業裁判官
忘年会,ぼうねんかい,会社の忘年会,忘年会をする,忘年会に参加,会忘年会,今年の忘年会
立候補,りっこうほ,立候補予定,選挙に立候補,選に立候補,立候補を表明,立候補を表明する
最高裁,さいこうさい,最高裁判決,最高裁判事,最高裁判例,最高裁長官,最高裁の判決
灰色,はいいろ,灰色の空,灰色の雲,灰色の世界,近い灰色,暗灰色
非常勤,ひじょうきん,非常勤講師,非常勤職員,非常勤消防,非常勤医師,非常勤の職員
神経痛,しんけいつう,神経痛変形,神経痛不整脈,座骨神経痛,顔面神経痛,神経痛筋肉
電磁波,でんじは,電磁波対策,電磁波測定,電磁波吸収,電磁波問題,電話の電磁波
税務署,ぜいむしょ,税務署長,税務署員,税務署に提出,税務署管内,税務署職員
有権者,ゆうけんしゃ,有権者数,多くの有権者,日本の有権者,区の有権者,有権者の関心
温泉郷,おんせんきょう,乳頭温泉郷,大町温泉郷,鳴子温泉郷,加賀温泉郷,塩原温泉郷
貴金属,ききんぞく,貴金属の高価,プラチナ貴金属,貴金属店,貴金属関連,田中貴金属
背番号,せばんごう,任意の背番号,背番号制,選手の背番号,時代の背番号,同じ背番号
論者,ろんしゃ,多くの論者,論者たち,論者もいる
一段落,いちだんらく,一段落するところ,仕事も一段落,一段落つき,一段落する後,仕事も一段落する
消防署,しょうぼうしょ,消防署員,消防署長,市消防署,北消防署,西消防署
協奏曲,きょうそうきょく,ピアノ協奏曲,ヴァイオリン協奏曲,協奏曲集,チェロ協奏曲,バイオリン協奏曲
座布団,ざぶとん,座布団の上,座布団全部,座布団運び,用座布団,用の座布団
代名詞,だいめいし,関係代名詞,代名詞となる,代名詞的,指示代名詞,代名詞みたい
脳卒中,のうそっちゅう,脳卒中片,脳卒中の予防,脳卒中後,脳卒中予防,日本脳卒中
脳神経,のうしんけい,脳神経外科,脳神経系,脳神経科,日本脳神経,脳神経クリニック
放射能,ほうしゃのう,放射能泉,放射能調査,放射能測定,残留放射能,放射能レベル
宇宙船,うちゅうせん,宇宙船地球,有人宇宙船,宇宙船の中,宇宙船内,アポロ宇宙船
全盛期,ぜんせいき,バブル全盛期,全盛期を過ぎる,映画全盛期,全盛期の時,全盛期のころ
乳製品,にゅうせいひん,牛乳や乳製品,乳製品卵,乳製品の製造,その他乳製品,乳製品を使う
深呼吸,しんこきゅう,深呼吸をする,大きく深呼吸,深呼吸の必要,深呼吸と集中,深く深呼吸
水蒸気,すいじょうき,中の水蒸気,水蒸気蒸留,水蒸気量,過熱水蒸気,水蒸気改
私生活,しせいかつ,私生活上,仕事と私生活,私生活情報,仕事や私生活,私の私生活
天守閣,てんしゅかく,城天守閣,城の天守閣,層の天守閣,現在の天守閣,天守閣の中
合衆国,がっしゅうこく,台場合衆国,合衆国軍隊,合衆国憲法,合衆国政府,合衆国大統領
備忘録,びぼうろく,備忘録代わり,備忘録的,ヤスの備忘録,夕刻の備忘録,自分の備忘録
純資産,じゅんしさん,純資産額,純資産の部,当たり純資産,表の純資産,純資産総額
優等生,ゆうとうせい,優等生的,優等生タイプ,物価の優等生,優等生キャラ,優等生ぶり
太陽系,たいようけい,太陽系外,太陽系内,太陽系の中,原始太陽系,太陽系の外
形容詞,けいようし,形容詞的,動詞と形容詞,動詞や形容詞,思う形容詞,形容詞の使い方
親孝行,おやこうこう,親孝行をする,最後の親孝行,一番の親孝行,最高の親孝行
広葉樹,こうようじゅ,広葉樹林,落葉広葉樹,常緑広葉樹,広葉樹の森,針葉樹と広葉樹
小論文,しょうろんぶん,小論文対策,小論文の書き方,作文小論文,小論文と面接,小論文を書く
不純物,ふじゅんぶつ,不純物を取り除く,中の不純物,不純物を除去,不純物を除去する,不純物が少ない
将軍家,しょうぐんけ,将軍家光,徳川将軍家,足利将軍家,将軍家定,将軍家宣
宣教師,せんきょうし,宣教師たち,会宣教師,会の宣教師,宣教師館,宣教師達
下腹部,かふくぶ,下腹部痛
高密度,こうみつど,高密度実装,高密度ポリエチレン,採用する高密度,高密度独,高密度記録
熱処理,ねつしょり,金属熱処理,熱処理加工,熱処理技術,熱処理をする,熱処理を行う
四重奏,しじゅうそう,四重奏曲,四重奏団,死の四重奏
延長線,えんちょうせん,延長線上,過去の延長線,従来の延長線
自尊心,じそんしん,自尊心を傷つける,自尊心が強い,自尊心を満足,自尊心を傷つけられる,自分の自尊心
大納言,だいなごん,大納言小豆,権大納言,大納言絵巻,大納言あずき,大納言家
針葉樹,しんようじゅ,針葉樹林,常緑針葉樹,針葉樹の森,針葉樹と広葉樹,針葉樹合板
横断幕,おうだんまく,横断幕を持つ,大きな横断幕
用心棒,ようじんぼう,用心棒日月,長屋の用心棒,用心棒代,用心棒をする
